,statefy,appno,fullstate,saa,applname,appladdress,applcity,applstate,applzip,zipfour,applstatus,applduns,applinst,insttype,appldisc,neaprimoutcome,congdistr,projdisc,majdisc,disctype,acttype,pdcpt,artsed,artsedname,individnum,artistsnum,youthben,grace,prace,amtrequest,applaward,amtspent,expenses,revenue,inkindctrb,neashare,saashare,othershare,neaprog,msatype,instname,actname,discname,neaprimoutcomename,tigercong,cdsession,county,idein,adultsengaged,childrenengaged,popbenrace,popbenage,popbendistinct,hobie,uniqueid,xlongitude,ylatitude,CityExistsInExcel,artsednew,G_popbenrace,N_popbenrace,W_popbenrace,B_popbenrace,H_popbenrace,-1_popbenrace,P_popbenrace,A_popbenrace,SAP_neaprog,-1_neaprog,PAU_neaprog,PAE_neaprog,PAC_neaprog,POL_neaprog,PAM_neaprog,AES_neaprog,PA_neaprog,P_neaprog,P_pdcpt,Y_pdcpt,I_pdcpt,A_pdcpt,G_popbendist,-1_popbendist,D_popbendist,P_popbendist,Y_popbendist,M_popbendist,E_popbendist,I_popbendist,1_popbenage,-1_popbenage,2_popbenage,3_popbenage,4_popbenage,9_popbenage
11,2021,2021OK00093,Oklahoma,OK,IDA FREEMAN ELEMENTARY (EDMOND PSD),501 W HURD ST,edmond,OK,73003,     ,5,JFMLAWKLHZJ6,21,EDU,14,,,5,5,Visual Arts      ,12,,1,Arts Ed: General,-1,-1,104.0,,,485,485,420,420,420,0.0,0,420,0,-1,M,Elementary School,Arts Instruction,Visual Arts,Learning,5.0,116.0,Oklahoma,736021168.0,-1.0,104.0,G,1,P,    ,GR13-21-5889-8977 ,-97.490605,35.657253,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12,2021,2021OK00094,Oklahoma,OK,IDABEL HIGH SCHOOL (IDABEL PSD),901 E LINCOLN RD,idabel,OK,74745,     ,5,,23,EDU,14,,,5,5,Visual Arts      ,12,,1,Arts Ed: General,-1,-1,108.0,,,500,500,444,444,444,0.0,0,444,0,-1,OM,Secondary School,Arts Instruction,Visual Arts,Learning,2.0,116.0,McCurtain,731134527.0,-1.0,108.0,W,1,D,    ,GR13-21-5931-9019 ,-94.815876,33.881973,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
13,2021,2021OK00095,Oklahoma,OK,IDABEL MIDDLE SCHOOL (IDABEL PSD),100 NE AVE D,idabel,OK,74745,     ,5,,22,EDU,14,,,5,5,Visual Arts      ,12,,1,Arts Ed: General,-1,-1,110.0,,,500,500,426,426,426,0.0,0,426,0,-1,OM,Middle School,Arts Instruction,Visual Arts,Learning,2.0,116.0,McCurtain,731134527.0,-1.0,110.0,W,1,P,    ,GR13-21-5835-8924 ,-94.823452,33.897176,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14,2021,2021OK00096,Oklahoma,OK,INDIAN WOMEN'S POCAHONTAS CLUB,PO BOX 3252,claremore,OK,74018,     ,2,JQHNZ1XJNJP8,32,COM,15,,,2,2,Performing Arts  ,5,,99,Not Arts Ed,30,2,8.0,,,2000,2000,2000,4250,2250,1350.0,0,2000,0,-1,M,Community Svc Org,Performance/Reading,Music,Engagement,2.0,116.0,Rogers,800455477.0,30.0,8.0,N,9,G,    ,GR1-21-5848-8937  ,-95.6111,36.3144,1,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,2021,2021OK00097,Oklahoma,OK,INDIAN WOMEN'S POCAHONTAS CLUB – STATE CARES,PO BOX 3252,claremore,OK,74018,     ,2,JQHNZ1XJNJP8,32,COM,15,,,15,15,Other            ,11,,99,Not Arts Ed,-1,-1,-1.0,,,2500,2500,2500,2500,2500,0.0,0,0,2500,-1,M,Community Svc Org,Operating Support,Non-Arts/Non-Humanities,Creation,2.0,116.0,Rogers,800455477.0,-1.0,-1.0,-1,-1,-1,    ,GR17-21-6153-9242 ,-95.6111,36.3144,1,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,2021,2021OK00098,Oklahoma,OK,INSIGHT SCHOOL OF OKLAHOMA,1156 S DOUGLAS BLVD,midwest city,OK,73130,     ,5,KAELMB5BEJ81,23,EDU,14,,,12,12,Other            ,20,,1,Arts Ed: General,0,0,0.0,,,2500,2500,2500,3222,2500,0.0,2500,0,0,-1,M,Secondary School,School Residency,Folklife/Trad. Arts,Learning,4.0,116.0,Oklahoma,464200578.0,0.0,0.0,G,1,Y,    ,GR6-21-5817-8905  ,-97.369842,35.453564,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
17,2021,2021OK00100,Oklahoma,OK,JAZZ IN JUNE,PO BOX 2405,norman,OK,73070,     ,2,PM41E65KSFT7,14,ART,2,,,2,2,Performing Arts  ,11,,2,Some AE: General,20000,36,500.0,,,15046,15046,15046,163700,163700,0.0,15046,0,0,-1,M,Fair/Festival,Operating Support,Music,Engagement,4.0,116.0,Cleveland,731375514.0,20000.0,500.0,G,20304,G,    ,GR3-21-5540-8561  ,-97.3471,35.2334,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
18,2021,2021OK00101,Oklahoma,OK,JAZZ IN JUNE – NEA ARPA,PO BOX 2405,norman,OK,73070,     ,2,PM41E65KSFT7,14,ART,2,,,2,2,Performing Arts  ,11,,99,Not Arts Ed,-1,-1,-1.0,,,6195,6195,6195,6195,6195,0.0,6195,0,0,-1,M,Fair/Festival,Operating Support,Music,Creation,4.0,116.0,Cleveland,731375514.0,-1.0,-1.0,-1,-1,-1,    ,GR20-22-7473-10514,-97.3471,35.2334,1,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19,2021,2021OK00099,Oklahoma,OK,JAZZ IN JUNE – STATE CARES,PO BOX 2405,norman,OK,73070,     ,2,PM41E65KSFT7,14,ART,2,,,2,2,Performing Arts  ,11,,99,Not Arts Ed,-1,-1,-1.0,,,20000,20000,20000,20000,20000,0.0,0,0,20000,-1,M,Fair/Festival,Operating Support,Music,Creation,4.0,116.0,Cleveland,731375514.0,-1.0,-1.0,-1,-1,-1,    ,GR17-21-6000-9089 ,-97.3471,35.2334,1,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20,2021,2021OK00102,Oklahoma,OK,JEFFERSON ELEMENTARY SCHOOL (SHAWNEE PSD),404 W DILL ST,shawnee,OK,74801,     ,5,DRF3RKVHKMN7,21,EDU,14,,,14,14,Multidisciplinary,12,,1,Arts Ed: General,-1,-1,500.0,,,500,500,492,492,492,0.0,0,492,0,-1,M,Elementary School,Arts Instruction,Multidisciplinary,Learning,5.0,116.0,Pottawatomie,736021209.0,-1.0,500.0,G,1,P,    ,GR13-21-6257-9368 ,-96.929311,35.340011,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21,2021,2021OK00103,Oklahoma,OK,JOHN MARSHALL MIDDLE SCHOOL (OKC PSD),2401 NW 115TH TER,oklahoma city,OK,73120,     ,5,MWFTLQL8MEY4,22,EDU,14,,,5,5,Visual Arts      ,12,,1,Arts Ed: General,-1,-1,298.0,,,500,500,497,497,497,0.0,0,497,0,-1,M,Middle School,Arts Instruction,Visual Arts,Learning,5.0,116.0,Oklahoma,73602117.0,-1.0,298.0,G,1,P,    ,GR13-21-5839-8928 ,-97.557249,35.588807,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,2021,2021OK00104,Oklahoma,OK,JOHN ROSS ELEMENTARY (EDMOND PSD),1901 THOMAS DR,edmond,OK,73003,     ,5,JFMLAWKLHZJ6,21,EDU,14,,,5,5,Visual Arts      ,12,,1,Arts Ed: General,-1,-1,168.0,,,485,485,420,420,420,0.0,0,420,0,-1,M,Elementary School,Arts Instruction,Visual Arts,Learning,5.0,116.0,Oklahoma,736021168.0,-1.0,168.0,G,1,P,    ,GR13-21-5890-8978 ,-97.483272,35.667448,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,2021,2021OK00105,Oklahoma,OK,JONES HIGH SCHOOL (JONES PSD),304 DR LEE SIMMONS,jones,OK,73049,     ,5,,23,EDU,14,,,2,2,Performing Arts  ,12,,1,Arts Ed: General,-1,-1,46.0,,,500,481,481,481,481,0.0,0,481,0,-1,M,Secondary School,Arts Instruction,Music,Learning,5.0,116.0,Oklahoma,730757589.0,-1.0,46.0,W,1,G,    ,GR13-21-5885-8973 ,-97.289089,35.561963,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24,2021,2021OK00106,Oklahoma,OK,JONES MIDDLE SCHOOL (JONES PSD),16011 E WILSHIRE BLVD,jones,OK,73049,     ,5,,22,EDU,14,,,2,2,Performing Arts  ,12,,1,Arts Ed: General,-1,-1,70.0,,,500,481,465,465,465,0.0,0,465,0,-1,M,Middle School,Arts Instruction,Music,Learning,5.0,116.0,Oklahoma,730757589.0,-1.0,70.0,W,1,G,    ,GR13-21-5882-8970 ,-97.246962,35.551258,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
25,2021,2021OK00107,Oklahoma,OK,KEY ELEMENTARY (TULSA PSD),5702 S IRVINGTON AVE,tulsa,OK,74135,     ,5,MM6THBDL1CT5,21,EDU,14,,,11,11,Other            ,20,,1,Arts Ed: General,6,1,399.0,,,1800,1800,1764,1960,1764,0.0,0,1764,0,-1,M,Elementary School,School Residency,Interdisciplinary,Learning,1.0,116.0,Tulsa,736021242.0,6.0,399.0,BHW,1,D,    ,GR5-21-5955-9043  ,-95.912348,36.081658,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
26,2021,2021OK00108,Oklahoma,OK,KEY ELEMENTARY (TULSA PSD),5702 S IRVINGTON AVE,tulsa,OK,74135,     ,5,MM6THBDL1CT5,21,EDU,14,,,5,5,Visual Arts      ,12,,1,Arts Ed: General,-1,-1,700.0,,,500,500,500,500,500,0.0,0,500,0,-1,M,Elementary School,Arts Instruction,Visual Arts,Learning,1.0,116.0,Tulsa,736021242.0,-1.0,700.0,BHW,1,DEP,    ,GR13-21-5878-8966 ,-95.912348,36.081658,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
27,2021,2021OK00109,Oklahoma,OK,KEYS HIGH SCHOOL (KEYS PSD),26062 HIGHWAY 82,park hill,OK,74451,     ,5,MMLWJL4713F9,23,EDU,14,,,5,5,Visual Arts      ,12,,1,Arts Ed: General,-1,-1,160.0,,,500,500,500,500,500,0.0,0,500,0,-1,OM,Secondary School,Arts Instruction,Visual Arts,Learning,2.0,116.0,Cherokee,731132902.0,-1.0,160.0,NW,1,P,    ,GR13-21-5843-8932 ,-94.965818,35.79785,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28,2021,2021OK00110,Oklahoma,OK,KIDSALIVE! – STATE CARES,PO BOX 2994,oklahoma city,OK,73101,     ,2,,6,ART,4,,,4,4,Performing Arts  ,11,,99,Not Arts Ed,-1,-1,-1.0,,,20000,20000,20000,20000,20000,0.0,0,0,20000,-1,M,Perf Group: Youth,Operating Support,Theatre,Creation,5.0,116.0,Oklahoma,821671998.0,-1.0,-1.0,-1,-1,-1,    ,GR17-21-6133-9222 ,-97.5137,35.4676,1,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29,2021,2021OK00111,Oklahoma,OK,KINTA PUBLIC SCHOOLS,205 N MAIN ST,kinta,OK,74552,     ,5,,19,EDU,15,,,5,5,Visual Arts      ,12,,1,Arts Ed: General,-1,-1,394.0,,,500,500,463,463,463,0.0,0,463,0,-1,OM,School District,Arts Instruction,Visual Arts,Learning,2.0,116.0,Haskell,736088019.0,-1.0,394.0,G,1,DPY,    ,GR13-21-5866-8954 ,-95.238732,35.117704,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
30,2021,2021OK00112,Oklahoma,OK,KIOWA TRIBE - TRIBAL MUSEUM – STATE CARES,PO BOX 369,carnegie,OK,73015,     ,9,,38,OTH,15,,,15,15,Other            ,11,,99,Not Arts Ed,-1,-1,-1.0,,,17043,17043,17043,17043,17043,0.0,0,0,17043,-1,OM,Government: Executive,Operating Support,Non-Arts/Non-Humanities,Creation,3.0,116.0,Caddo,730789393.0,-1.0,-1.0,-1,-1,-1,    ,GR17-21-6165-9254 ,-98.6049,35.1066,1,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
31,2021,2021OK00113,Oklahoma,OK,LAWTON ARTS & HUMANITIES COUNCIL,PO BOX 1054,lawton,OK,73502,     ,2,,16,ART,14,,,3,3,Performing Arts  ,5,,99,Not Arts Ed,0,20,0.0,,,3000,3000,3000,6310,3310,1100.0,0,3000,0,-1,M,Arts Council/Agency,Performance/Reading,Opera/Mus. Theatre,Engagement,4.0,116.0,Comanche,736005287.0,0.0,0.0,G,10304,G,    ,GR2-21-5475-8430  ,-98.4203,34.6169,1,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
32,2021,2021OK00115,Oklahoma,OK,LAWTON COMMUNITY THEATRE,PO BOX 42,lawton,OK,73502,     ,2,UYKAR4LFYAF8,5,ART,4,,,3,3,Performing Arts  ,11,,2,Some AE: General,7400,90,21000.0,,,27478,27478,27478,211235,211235,0.0,27478,0,0,-1,M,Perf Group: Community,Operating Support,Opera/Mus. Theatre,Engagement,4.0,116.0,Comanche,237335335.0,7400.0,21000.0,W,9,G,    ,GR3-21-5603-8687  ,-98.4203,34.6169,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2021,2021OK00116,Oklahoma,OK,LAWTON COMMUNITY THEATRE – NEA ARPA,PO BOX 42,lawton,OK,73502,     ,2,UYKAR4LFYAF8,5,ART,4,,,4,4,Performing Arts  ,11,,99,Not Arts Ed,-1,-1,-1.0,,,6195,6195,6195,6195,6195,0.0,6195,0,0,-1,M,Perf Group: Community,Operating Support,Theatre,Creation,4.0,116.0,Comanche,237335335.0,-1.0,-1.0,-1,-1,-1,    ,GR20-22-7539-10579,-98.4203,34.6169,1,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
34,2021,2021OK00114,Oklahoma,OK,LAWTON COMMUNITY THEATRE – STATE CARES,PO BOX 42,lawton,OK,73502,     ,2,UYKAR4LFYAF8,5,ART,4,,,4,4,Performing Arts  ,11,,99,Not Arts Ed,-1,-1,-1.0,,,20000,20000,20000,20000,20000,0.0,0,0,20000,-1,M,Perf Group: Community,Operating Support,Theatre,Creation,4.0,116.0,Comanche,237335335.0,-1.0,-1.0,-1,-1,-1,    ,GR17-21-6064-9153 ,-98.4203,34.6169,1,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
35,2021,2021OK00117,Oklahoma,OK,LAWTON PHILHARMONIC SOCIETY,PO BOX 1473,lawton,OK,73502,     ,2,XE3LMKQAB558,5,ART,2,,,2,2,Performing Arts  ,5,,2,Some AE: General,0,14,0.0,,,19806,6000,6000,38666,32666,8744.0,0,6000,0,-1,M,Perf Group: Community,Performance/Reading,Music,Engagement,4.0,116.0,Comanche,736103649.0,0.0,0.0,G,9,G,    ,GR2-21-5445-8366  ,-98.4203,34.6169,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2021,2021OK00118,Oklahoma,OK,LAWTON PHILHARMONIC SOCIETY,PO BOX 1473,lawton,OK,73502,     ,2,XE3LMKQAB558,5,ART,2,,,2,2,Performing Arts  ,5,,99,Not Arts Ed,0,15,0.0,,,18861,6000,6000,34498,28498,8257.0,0,6000,0,-1,M,Perf Group: Community,Performance/Reading,Music,Engagement,4.0,116.0,Comanche,736103649.0,0.0,0.0,G,9,G,    ,GR2-21-5445-8367  ,-98.4203,34.6169,1,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2021,2021OK00119,Oklahoma,OK,LAWTON PHILHARMONIC SOCIETY,PO BOX 1473,lawton,OK,73502,     ,2,XE3LMKQAB558,5,ART,2,,,2,2,Performing Arts  ,5,,2,Some AE: General,0,28,0.0,,,8012,3500,3500,43808,40308,8744.0,0,3500,0,-1,M,Perf Group: Community,Performance/Reading,Music,Engagement,4.0,116.0,Comanche,736103649.0,0.0,0.0,G,9,G,    ,GR2-21-5445-8368  ,-98.4203,34.6169,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38,2021,2021OK00120,Oklahoma,OK,LAWTON PHILHARMONIC SOCIETY – STATE CARES,PO BOX 1473,lawton,OK,73502,     ,2,XE3LMKQAB558,5,ART,2,,,2,2,Performing Arts  ,11,,99,Not Arts Ed,-1,-1,-1.0,,,20000,20000,20000,20000,20000,0.0,0,0,20000,-1,M,Perf Group: Community,Operating Support,Music,Creation,4.0,116.0,Comanche,736103649.0,-1.0,-1.0,-1,-1,-1,    ,GR17-21-6042-9131 ,-98.4203,34.6169,1,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
